query,label
Show me the algorithm for Inheritance.,PROCEDURAL
Take me to Binary Search Trees notes.,NAVIGATIONAL
What is A* Search?,CONCEPTUAL
Simplify Dijkstra for me.,CONCEPTUAL
Compare Inheritance with other methods.,ADVANCED
What does Linked Lists mean in CS?,CONCEPTUAL
edge cases for object oriented programming.,ADVANCED
edge cases for sorting.,ADVANCED
Time complexity tradeoffs of Stacks.,ADVANCED
time complexity tradeoffs of bfs.,ADVANCED
Open the Object Oriented Programming chapter.,NAVIGATIONAL
Show me the algorithm for Dynamic Programming.,PROCEDURAL
What is Dynamic Programming?,CONCEPTUAL
Compare BFS with other methods.,ADVANCED
Explain the concept of Memory Management.,CONCEPTUAL
Time complexity tradeoffs of BFS.,ADVANCED
What does BFS mean in CS?,CONCEPTUAL
take me to a* search notes.,NAVIGATIONAL
Time complexity tradeoffs of Sorting.,ADVANCED
simplify big o notation for me.,CONCEPTUAL
How do I code Sorting?,PROCEDURAL
steps for implementing polymorphism.,PROCEDURAL
Edge cases for Binary Search Trees.,ADVANCED
Simplify Memory Management for me.,CONCEPTUAL
What is Stacks?,CONCEPTUAL
edge cases for bfs.,ADVANCED
how do i code dfs,PROCEDURAL
explain the concept of polymorphism.,CONCEPTUAL
Take me to Stacks notes.,NAVIGATIONAL
explain the concept of dfs.,CONCEPTUAL
How do I code Linked Lists?,PROCEDURAL
simplify recursion for me.,CONCEPTUAL
simplify inheritance for me.,CONCEPTUAL
How to solve Polymorphism?,PROCEDURAL
Time complexity tradeoffs of Inheritance.,ADVANCED
Steps for implementing Dijkstra.,PROCEDURAL
Show me the algorithm for Recursion.,PROCEDURAL
How do I code A* Search?,PROCEDURAL
Steps for implementing DFS.,PROCEDURAL
Open the Dynamic Programming chapter.,NAVIGATIONAL
steps for implementing dfs.,PROCEDURAL
Steps for implementing Linked Lists.,PROCEDURAL
steps for implementing sorting.,PROCEDURAL
time complexity tradeoffs of dijkstra.,ADVANCED
Show me the algorithm for Binary Search Trees.,PROCEDURAL
Explain the concept of Dijkstra.,CONCEPTUAL
Simplify Recursion for me.,CONCEPTUAL
Time complexity tradeoffs of Polymorphism.,ADVANCED
Explain the concept of Dijkstra.,CONCEPTUAL
take me to linked lists notes.,NAVIGATIONAL
Go to the section on Object Oriented Programming.,NAVIGATIONAL
Show me the Dynamic Programming module.,NAVIGATIONAL
open the big o notation chapter.,NAVIGATIONAL
Go to the section on DFS.,NAVIGATIONAL
edge cases for stacks.,ADVANCED
how to optimize memory management,ADVANCED
What does Big O Notation mean in CS?,CONCEPTUAL
What does Dijkstra mean in CS?,CONCEPTUAL
explain the concept of object oriented programming.,CONCEPTUAL
Take me to Polymorphism notes.,NAVIGATIONAL
Go to the section on Inheritance.,NAVIGATIONAL
How to optimize Polymorphism?,ADVANCED
Simplify A* Search for me.,CONCEPTUAL
How to solve Dijkstra?,PROCEDURAL
Show me the BFS module.,NAVIGATIONAL
How to optimize Pointers?,ADVANCED
How to optimize Dynamic Programming?,ADVANCED
how to optimize dynamic programming,ADVANCED
Edge cases for Memory Management.,ADVANCED
Explain the concept of BFS.,CONCEPTUAL
How do I code A* Search?,PROCEDURAL
Show me the Pointers module.,NAVIGATIONAL
what is binary search trees,CONCEPTUAL
Take me to Binary Search Trees notes.,NAVIGATIONAL
Show me the algorithm for Pointers.,PROCEDURAL
How to solve Polymorphism?,PROCEDURAL
simplify recursion for me.,CONCEPTUAL
Open the A* Search chapter.,NAVIGATIONAL
Steps for implementing Binary Search Trees.,PROCEDURAL
Explain the concept of Recursion.,CONCEPTUAL
Time complexity tradeoffs of Big O Notation.,ADVANCED
how to optimize pointers,ADVANCED
"How does bubble sort actually work?",CONCEPTUAL
"Need help installing Node.js on my machine",PROCEDURAL
"Good websites for learning C++ online?",NAVIGATIONAL
"Tips to improve GAN training stability",ADVANCED
"Explain recursion with simple example",CONCEPTUAL
"Step by step guide for creating Python class",PROCEDURAL
"Where can I find JavaScript DOM tutorials?",NAVIGATIONAL
"Optimizing RNN for text generation tasks",ADVANCED
"Difference between abstract class and interface in Java",CONCEPTUAL
"Help me fix TypeError in Python",PROCEDURAL
"Best interactive platforms for learning algorithms",NAVIGATIONAL
"Techniques to reduce training time in deep networks",ADVANCED
"What is the purpose of heap memory?",CONCEPTUAL
"Show me how to setup PostgreSQL locally",PROCEDURAL
"Tutorials for learning CSS flexbox easily",NAVIGATIONAL
"Improve inference speed in large Transformer models",ADVANCED
"Explain concept of graph adjacency list",CONCEPTUAL
"Can't get quicksort to sort properly",PROCEDURAL
"Where can I find exercises for practicing recursion?",NAVIGATIONAL
"Optimize memory usage when processing large JSON files",ADVANCED
"Concept of multi-threading explained",CONCEPTUAL
"Help me implement DFS in Python",PROCEDURAL
"Best blogs for learning Python data structures",NAVIGATIONAL
"Speed up model training with mixed precision",ADVANCED
"Explain differences btwn TCP and UDP",CONCEPTUAL
"Step by step guide to install Anaconda",PROCEDURAL
"Good websites for coding interview prep",NAVIGATIONAL
"Advanced hyperparameter tuning for XGBoost",ADVANCED
"What is a priority queue?",CONCEPTUAL
"Show me how to configure VSCode debugger",PROCEDURAL
"Where can I find tutorials for Flask framework?",NAVIGATIONAL
"Techniques to optimize SQL joins on large tables",ADVANCED
"Difference between stack and heap memory",CONCEPTUAL
"Need step by step for installing TensorFlow GPU",PROCEDURAL
"Best online platforms to learn React hooks",NAVIGATIONAL
"Improve performance of nested for loops in Python",ADVANCED
"Explain concept of hash map collisions",CONCEPTUAL
"Help me debug segmentation fault in C program",PROCEDURAL
"Where to find Java multithreading tutorials?",NAVIGATIONAL
"Optimizing CNN architecture for mobile deployment",ADVANCED
"Concept of binary search explained simply",CONCEPTUAL
"Step by step guide to setup Python virtualenv",PROCEDURAL
"Good platforms for learning Rust programming",NAVIGATIONAL
"Techniques to parallelize image processing in Python",ADVANCED
"What is memoization in dynamic programming?",CONCEPTUAL
"Can't get BFS to work in my Java code",PROCEDURAL
"Where can I find coding challenges for beginners?",NAVIGATIONAL
"Improve inference speed for BERT models",ADVANCED
"Explain difference between singly and doubly linked list",CONCEPTUAL
"Help me install Django and setup project",PROCEDURAL
"Best websites for practicing SQL queries",NAVIGATIONAL
"Advanced methods for distributed training in PyTorch",ADVANCED
